County ,County Code,Media Market,Newspaper,Year Code,Winner,Loser,endorsewin,countyid
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2000,1,0,1,572000
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2000,1,0,1,602000
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,2000,1,0,1,642000
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,2000,,,0,172000
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,2000,,,0,462000
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,2000,,,0,552000
Gadsen,20,Tallahassee,Tallahassee Democrat,2000,,,0,202000
Hamilton,24,Tallahassee,Tallahassee Democrat,2000,,,0,242000
Jefferson,33,Tallahassee,Tallahassee Democrat,2000,,,0,332000
Lafayette,34,Tallahassee,Tallahassee Democrat,2000,,,0,342000
Leon,37,Tallahassee,Tallahassee Democrat,2000,,,0,372000
Madison,40,Tallahassee,Tallahassee Democrat,2000,,,0,402000
Suwannee,61,Tallahassee,Tallahassee Democrat,2000,,,0,612000
Taylor,62,Tallahassee,Tallahassee Democrat,2000,,,0,622000
Wakulla,65,Tallahassee,Tallahassee Democrat,2000,,,0,652000
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,92000
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,252000
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,272000
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,282000
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,292000
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,412000
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,512000
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,522000
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,532000
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,2000,0,1,0,562000
Alachua,1,Gainesville,The Gainesville Sun,2000,0,1,0,12000
Dixie,15,Gainesville,The Gainesville Sun,2000,0,1,0,152000
Gilchrist,21,Gainesville,The Gainesville Sun,2000,0,1,0,212000
Levy,38,Gainesville,The Gainesville Sun,2000,0,1,0,382000
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,2000,0,1,0,62000
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,2000,0,1,0,132000
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,2000,0,1,0,442000
Bay ,3,Panama City,The News Herald,2000,,,0,32000
Calhoun,7,Panama City,The News Herald,2000,,,0,72000
Franklin,19,Panama City,The News Herald,2000,,,0,192000
Gulf,23,Panama City,The News Herald,2000,,,0,232000
Holmes,30,Panama City,The News Herald,2000,,,0,302000
Jackson,32,Panama City,The News Herald,2000,,,0,322000
Liberty,39,Panama City,The News Herald,2000,,,0,392000
Walton,66,Panama City,The News Herald,2000,,,0,662000
Washington,67,Panama City,The News Herald,2000,,,0,672000
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,2000,0,1,0,312000
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,2000,0,1,0,432000
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,2000,0,1,0,472000
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,2000,0,1,0,502000
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,2000,0,1,0,592000
Baker,2,Jacksonville,Florida Times-Union,1998,1,0,1,21998
Bradford,4,Jacksonville,Florida Times-Union,1998,1,0,1,41998
Clay,10,Jacksonville,Florida Times-Union,1998,1,0,1,101998
Columbia,12,Jacksonville,Florida Times-Union,1998,1,0,1,121998
Duval,16,Jacksonville,Florida Times-Union,1998,1,0,1,161998
Nassau,45,Jacksonville,Florida Times-Union,1998,1,0,1,451998
Putnam,54,Jacksonville,Florida Times-Union,1998,1,0,1,541998
St. Johns,58,Jacksonville,Florida Times-Union,1998,1,0,1,581998
Union,63,Jacksonville,Florida Times-Union,1998,1,0,1,631998
Charlotte,8,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,81998
Collier,11,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,111998
De Soto,14,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,141998
Glades,22,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,221998
Hendry,26,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,261998
Lee,36,Ft. Myers/Naples,Naples Daily News,1998,1,0,1,361998
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,51998
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,181998
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,351998
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,421998
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,481998
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,491998
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,571998
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,601998
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1998,1,0,1,641998
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,1998,,,0,171998
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,1998,,,0,461998
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,1998,,,0,551998
Gadsen,20,Tallahassee,Tallahassee Democrat,1998,,,0,201998
Hamilton,24,Tallahassee,Tallahassee Democrat,1998,,,0,241998
Jefferson,33,Tallahassee,Tallahassee Democrat,1998,,,0,331998
Lafayette,34,Tallahassee,Tallahassee Democrat,1998,,,0,341998
Leon,37,Tallahassee,Tallahassee Democrat,1998,,,0,371998
Madison,40,Tallahassee,Tallahassee Democrat,1998,,,0,401998
Suwannee,61,Tallahassee,Tallahassee Democrat,1998,,,0,611998
Taylor,62,Tallahassee,Tallahassee Democrat,1998,,,0,621998
Wakulla,65,Tallahassee,Tallahassee Democrat,1998,,,0,651998
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,91998
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,251998
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,271998
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,281998
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,291998
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,411998
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,511998
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,521998
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,531998
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1998,0,1,0,561998
Alachua,1,Gainesville,The Gainesville Sun,1998,1,0,1,11998
Dixie,15,Gainesville,The Gainesville Sun,1998,1,0,1,151998
Gilchrist,21,Gainesville,The Gainesville Sun,1998,1,0,1,211998
Levy,38,Gainesville,The Gainesville Sun,1998,1,0,1,381998
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,1998,1,0,1,61998
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,1998,1,0,1,131998
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,1998,1,0,1,441998
Bay ,3,Panama City,The News Herald,1998,,,0,31998
Calhoun,7,Panama City,The News Herald,1998,,,0,71998
Franklin,19,Panama City,The News Herald,1998,,,0,191998
Gulf,23,Panama City,The News Herald,1998,,,0,231998
Holmes,30,Panama City,The News Herald,1998,,,0,301998
Jackson,32,Panama City,The News Herald,1998,,,0,321998
Liberty,39,Panama City,The News Herald,1998,,,0,391998
Walton,66,Panama City,The News Herald,1998,,,0,661998
Washington,67,Panama City,The News Herald,1998,,,0,671998
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,1998,0,1,0,311998
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,1998,0,1,0,431998
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,1998,0,1,0,471998
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,1998,0,1,0,501998
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,1998,0,1,0,591998
Baker,2,Jacksonville,Florida Times-Union,1996,0,1,0,21996
Bradford,4,Jacksonville,Florida Times-Union,1996,0,1,0,41996
Clay,10,Jacksonville,Florida Times-Union,1996,0,1,0,101996
Columbia,12,Jacksonville,Florida Times-Union,1996,0,1,0,121996
Duval,16,Jacksonville,Florida Times-Union,1996,0,1,0,161996
Nassau,45,Jacksonville,Florida Times-Union,1996,0,1,0,451996
Putnam,54,Jacksonville,Florida Times-Union,1996,0,1,0,541996
St. Johns,58,Jacksonville,Florida Times-Union,1996,0,1,0,581996
Union,63,Jacksonville,Florida Times-Union,1996,0,1,0,631996
Charlotte,8,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,81996
Collier,11,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,111996
De Soto,14,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,141996
Glades,22,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,221996
Hendry,26,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,261996
Lee,36,Ft. Myers/Naples,Naples Daily News,1996,0,1,0,361996
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,51996
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,181996
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,351996
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,421996
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,481996
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,491996
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,571996
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,601996
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1996,0,1,0,641996
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,1996,,,0,171996
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,1996,,,0,461996
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,1996,,,0,551996
Gadsen,20,Tallahassee,Tallahassee Democrat,1996,,,0,201996
Hamilton,24,Tallahassee,Tallahassee Democrat,1996,,,0,241996
Jefferson,33,Tallahassee,Tallahassee Democrat,1996,,,0,331996
Lafayette,34,Tallahassee,Tallahassee Democrat,1996,,,0,341996
Leon,37,Tallahassee,Tallahassee Democrat,1996,,,0,371996
Madison,40,Tallahassee,Tallahassee Democrat,1996,,,0,401996
Suwannee,61,Tallahassee,Tallahassee Democrat,1996,,,0,611996
Taylor,62,Tallahassee,Tallahassee Democrat,1996,,,0,621996
Wakulla,65,Tallahassee,Tallahassee Democrat,1996,,,0,651996
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,91996
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,251996
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,271996
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,281996
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,291996
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,411996
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,511996
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,521996
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,531996
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1996,1,0,1,561996
Alachua,1,Gainesville,The Gainesville Sun,1996,1,0,1,11996
Dixie,15,Gainesville,The Gainesville Sun,1996,1,0,1,151996
Gilchrist,21,Gainesville,The Gainesville Sun,1996,1,0,1,211996
Levy,38,Gainesville,The Gainesville Sun,1996,1,0,1,381996
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,1996,9,9,0,61996
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,1996,9,9,0,131996
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,1996,9,9,0,441996
Bay ,3,Panama City,The News Herald,1996,,,0,31996
Calhoun,7,Panama City,The News Herald,1996,,,0,71996
Franklin,19,Panama City,The News Herald,1996,,,0,191996
Gulf,23,Panama City,The News Herald,1996,,,0,231996
Holmes,30,Panama City,The News Herald,1996,,,0,301996
Jackson,32,Panama City,The News Herald,1996,,,0,321996
Liberty,39,Panama City,The News Herald,1996,,,0,391996
Walton,66,Panama City,The News Herald,1996,,,0,661996
Washington,67,Panama City,The News Herald,1996,,,0,671996
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,1996,1,0,1,311996
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,1996,1,0,1,431996
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,1996,1,0,1,471996
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,1996,1,0,1,501996
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,1996,1,0,1,591996
Baker,2,Jacksonville,Florida Times-Union,1994,0,1,0,21994
Bradford,4,Jacksonville,Florida Times-Union,1994,0,1,0,41994
Clay,10,Jacksonville,Florida Times-Union,1994,0,1,0,101994
Columbia,12,Jacksonville,Florida Times-Union,1994,0,1,0,121994
Duval,16,Jacksonville,Florida Times-Union,1994,0,1,0,161994
Nassau,45,Jacksonville,Florida Times-Union,1994,0,1,0,451994
Putnam,54,Jacksonville,Florida Times-Union,1994,0,1,0,541994
St. Johns,58,Jacksonville,Florida Times-Union,1994,0,1,0,581994
Union,63,Jacksonville,Florida Times-Union,1994,0,1,0,631994
Charlotte,8,Ft. Myers/Naples,Naples Daily News,1994,,,0,81994
Collier,11,Ft. Myers/Naples,Naples Daily News,1994,,,0,111994
De Soto,14,Ft. Myers/Naples,Naples Daily News,1994,,,0,141994
Glades,22,Ft. Myers/Naples,Naples Daily News,1994,,,0,221994
Hendry,26,Ft. Myers/Naples,Naples Daily News,1994,,,0,261994
Lee,36,Ft. Myers/Naples,Naples Daily News,1994,,,0,361994
Brevard,5,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,51994
Flagler,18,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,181994
Lake,35,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,351994
Marion,42,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,421994
Orange,48,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,481994
Osceola,49,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,491994
Seminole,57,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,571994
Sumter,60,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,601994
Volusia,64,Orlando/Daytona Beach/Melbourne,Orlando Sentinel,1994,1,0,1,641994
Escambia,17,Pensacola/Panhandle,Pensacola News Journal,1994,,,0,171994
Okaloosa,46,Pensacola/Panhandle,Pensacola News Journal,1994,,,0,461994
Sant Rosa,55,Pensacola/Panhandle,Pensacola News Journal,1994,,,0,551994
Gadsen,20,Tallahassee,Tallahassee Democrat,1994,,,0,201994
Hamilton,24,Tallahassee,Tallahassee Democrat,1994,,,0,241994
Jefferson,33,Tallahassee,Tallahassee Democrat,1994,,,0,331994
Lafayette,34,Tallahassee,Tallahassee Democrat,1994,,,0,341994
Leon,37,Tallahassee,Tallahassee Democrat,1994,,,0,371994
Madison,40,Tallahassee,Tallahassee Democrat,1994,,,0,401994
Suwannee,61,Tallahassee,Tallahassee Democrat,1994,,,0,611994
Taylor,62,Tallahassee,Tallahassee Democrat,1994,,,0,621994
Wakulla,65,Tallahassee,Tallahassee Democrat,1994,,,0,651994
Citrun,9,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,91994
Hardee,25,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,251994
Hernando,27,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,271994
Highlands,28,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,281994
Hillsborough,29,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,291994
Manatee,41,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,411994
Pasco,51,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,511994
Pinellas,52,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,521994
Polk,53,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,531994
Sarasota,56,Tampa/St. Petersburg/Sarasota,Tampa Bay Times,1994,1,0,1,561994
Alachua,1,Gainesville,The Gainesville Sun,1994,1,0,1,11994
Dixie,15,Gainesville,The Gainesville Sun,1994,1,0,1,151994
Gilchrist,21,Gainesville,The Gainesville Sun,1994,1,0,1,211994
Levy,38,Gainesville,The Gainesville Sun,1994,1,0,1,381994
Broward,6,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,61994
Dade,13,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,131994
Monroe,44,Miami/Ft. Lauderdale,The Miami Herald,1994,1,0,1,441994
Bay ,3,Panama City,The News Herald,1994,,,0,31994
Calhoun,7,Panama City,The News Herald,1994,,,0,71994
Franklin,19,Panama City,The News Herald,1994,,,0,191994
Gulf,23,Panama City,The News Herald,1994,,,0,231994
Holmes,30,Panama City,The News Herald,1994,,,0,301994
Jackson,32,Panama City,The News Herald,1994,,,0,321994
Liberty,39,Panama City,The News Herald,1994,,,0,391994
Walton,66,Panama City,The News Herald,1994,,,0,661994
Washington,67,Panama City,The News Herald,1994,,,0,671994
Indian River,31,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,311994
Martin,43,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,431994
Okeechobee,47,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,471994
Palm Beach,50,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,501994
St. Lucie,59,West Palm Beach/Ft. Piece,The Palm Beach Post,1994,1,0,1,591994
